               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.032624,            0.022598,          0.00094153,             0.82429,               0.818,             0.79052,             0.37101,            0.040239,            0.030768,          0.00097796,           0.0076679,           0.0076679,           0.0076679
                  36,            0.032536,            0.025615,           0.0011299,             0.75816,             0.73787,             0.68708,             0.29834,            0.044601,            0.036181,          0.00099901,            0.007543,            0.007543,            0.007543
                  37,            0.030868,            0.022881,          0.00078824,             0.74006,             0.74867,             0.68325,             0.30931,            0.043528,            0.032818,          0.00089297,            0.007416,            0.007416,            0.007416
                  38,            0.030763,            0.018787,          0.00075491,             0.75722,               0.754,             0.70799,             0.31837,            0.042742,            0.032321,          0.00086697,           0.0072872,           0.0072872,           0.0072872
                  39,            0.031498,            0.024653,            0.000864,             0.81668,             0.80539,             0.77043,             0.35587,            0.040299,            0.031484,          0.00077873,           0.0071566,           0.0071566,           0.0071566
                  40,            0.030898,            0.022615,          0.00092252,             0.81813,             0.80195,             0.76434,             0.34491,            0.040628,             0.03054,          0.00081337,           0.0070243,           0.0070243,           0.0070243
                  41,            0.030131,            0.021024,          0.00099465,             0.80023,             0.78193,             0.74582,             0.32788,            0.042226,            0.034707,          0.00082971,           0.0068906,           0.0068906,           0.0068906
                  42,            0.030793,            0.022423,           0.0007918,             0.76694,              0.7682,             0.70379,             0.31529,            0.041739,            0.033136,          0.00074944,           0.0067555,           0.0067555,           0.0067555
                  43,            0.030048,            0.022293,          0.00088108,             0.79504,             0.77505,             0.74058,             0.33429,            0.041799,            0.033599,          0.00079182,           0.0066191,           0.0066191,           0.0066191
                  44,            0.030045,            0.021351,          0.00082139,             0.75829,             0.72764,             0.69289,             0.31626,            0.043927,            0.035186,          0.00082372,           0.0064816,           0.0064816,           0.0064816
                  45,            0.029038,            0.022862,          0.00075567,             0.81534,             0.79145,             0.76523,             0.34863,            0.041571,            0.032758,          0.00088902,           0.0063432,           0.0063432,           0.0063432
                  46,            0.028854,            0.021426,          0.00073297,             0.83383,             0.83424,             0.81302,             0.38075,            0.038204,            0.028964,          0.00071874,            0.006204,            0.006204,            0.006204
                  47,            0.029166,            0.020328,          0.00060967,             0.79499,             0.78709,             0.76346,             0.34759,            0.041019,            0.031305,          0.00071301,            0.006064,            0.006064,            0.006064
                  48,            0.029182,             0.02455,          0.00059989,             0.76632,             0.76673,             0.70311,             0.32823,            0.042767,            0.035127,           0.0009981,           0.0059235,           0.0059235,           0.0059235
                  49,            0.028387,            0.022875,           0.0007829,             0.76602,             0.74033,             0.69945,             0.33062,            0.042763,            0.036591,           0.0007787,           0.0057826,           0.0057826,           0.0057826
                  50,            0.029261,            0.022306,          0.00071904,             0.75772,             0.75894,             0.71064,             0.32027,            0.043413,            0.036659,          0.00063399,           0.0056413,           0.0056413,           0.0056413
                  51,            0.028467,             0.02248,          0.00074919,             0.75791,             0.75487,             0.70277,             0.32754,            0.042286,            0.035323,          0.00071015,              0.0055,              0.0055,              0.0055
                  52,            0.027062,            0.019345,           0.0005738,             0.76919,             0.75047,             0.70975,             0.32855,            0.042895,            0.036435,          0.00077691,           0.0053587,           0.0053587,           0.0053587
                  53,            0.027169,            0.021173,          0.00055659,             0.77977,             0.76587,             0.72738,             0.33384,            0.042084,            0.035576,          0.00063196,           0.0052174,           0.0052174,           0.0052174
                  54,            0.026259,            0.021304,          0.00050769,             0.77025,             0.75105,             0.70045,             0.30947,            0.043644,            0.037673,          0.00073307,           0.0050765,           0.0050765,           0.0050765
                  55,            0.027006,            0.021687,          0.00068781,              0.7363,             0.73891,             0.67319,             0.30222,            0.044595,            0.038532,          0.00067797,            0.004936,            0.004936,            0.004936
                  56,            0.026949,            0.020422,          0.00052915,             0.78804,             0.77008,             0.73525,             0.33279,            0.042001,            0.035489,          0.00067546,            0.004796,            0.004796,            0.004796
                  57,            0.025862,            0.020892,          0.00080636,             0.80187,              0.7897,             0.76256,             0.35269,            0.040605,            0.032954,          0.00090854,           0.0046568,           0.0046568,           0.0046568
                  58,             0.02617,            0.021806,           0.0005688,             0.78735,             0.78435,             0.72046,             0.32364,            0.041813,            0.037093,          0.00065165,           0.0045184,           0.0045184,           0.0045184
                  59,             0.02619,            0.020793,          0.00047469,             0.76829,             0.75962,             0.70177,             0.33677,            0.042778,            0.039055,           0.0007644,           0.0043809,           0.0043809,           0.0043809
                  60,            0.025082,            0.020683,            0.000442,             0.79626,             0.76774,             0.73812,             0.34148,            0.042184,            0.036249,          0.00071959,           0.0042445,           0.0042445,           0.0042445
                  61,            0.025743,            0.020353,          0.00065427,             0.81251,             0.78421,             0.76676,             0.35582,            0.040875,             0.03263,          0.00071957,           0.0041094,           0.0041094,           0.0041094
                  62,             0.02517,            0.019569,           0.0005189,             0.78353,             0.76426,               0.726,             0.31754,            0.043754,            0.037483,          0.00062807,           0.0039757,           0.0039757,           0.0039757
                  63,            0.024412,            0.018779,          0.00044809,             0.79008,             0.79024,             0.75228,             0.34608,            0.041642,            0.038189,          0.00077229,           0.0038434,           0.0038434,           0.0038434
