               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.032995,            0.023439,            0.001054,             0.75589,             0.75798,             0.71418,             0.31372,             0.04321,            0.033207,           0.0011007,           0.0076679,           0.0076679,           0.0076679
                  36,            0.033785,            0.025945,           0.0012054,             0.78442,             0.79129,             0.75056,             0.32745,            0.042821,             0.03162,          0.00092884,            0.007543,            0.007543,            0.007543
                  37,            0.033552,            0.023604,          0.00086998,             0.74121,             0.75062,             0.71709,             0.31675,            0.043568,            0.030263,           0.0008687,            0.007416,            0.007416,            0.007416
                  38,            0.031801,            0.020985,          0.00080522,             0.74728,             0.76986,             0.71286,             0.31558,            0.043411,             0.03298,           0.0013125,           0.0072872,           0.0072872,           0.0072872
                  39,            0.032795,            0.025608,           0.0011269,             0.75755,             0.76625,             0.70869,             0.33961,            0.041939,            0.032373,            0.001374,           0.0071566,           0.0071566,           0.0071566
                  40,            0.032014,            0.024133,           0.0011724,             0.76349,             0.75888,             0.71729,             0.32726,            0.042429,            0.031401,           0.0016513,           0.0070243,           0.0070243,           0.0070243
                  41,            0.031662,             0.02182,          0.00094606,             0.80914,             0.78969,             0.76502,             0.35028,            0.040269,            0.030132,           0.0013036,           0.0068906,           0.0068906,           0.0068906
                  42,            0.031917,            0.022982,          0.00095975,             0.79176,             0.76916,             0.73034,             0.31969,            0.043179,            0.034606,              0.0011,           0.0067555,           0.0067555,           0.0067555
                  43,            0.031951,            0.025419,           0.0010178,             0.75272,             0.75943,             0.70489,             0.30596,            0.045332,            0.036313,          0.00090799,           0.0066191,           0.0066191,           0.0066191
                  44,            0.031101,            0.022828,          0.00075368,             0.77391,             0.75259,             0.71245,             0.32359,            0.042473,            0.033153,          0.00098092,           0.0064816,           0.0064816,           0.0064816
                  45,            0.031145,            0.024029,          0.00076285,             0.79491,             0.78533,             0.75206,             0.33511,             0.04157,            0.031838,          0.00084459,           0.0063432,           0.0063432,           0.0063432
                  46,            0.029249,            0.021845,          0.00076657,             0.76485,             0.77605,             0.71623,             0.32904,            0.042554,            0.036207,          0.00083959,            0.006204,            0.006204,            0.006204
                  47,            0.029734,            0.020942,          0.00071209,             0.78805,             0.77456,             0.74427,             0.32877,             0.04246,             0.03308,          0.00090359,            0.006064,            0.006064,            0.006064
                  48,            0.030786,            0.025416,          0.00062586,             0.74782,             0.75097,             0.69593,             0.32179,            0.044625,            0.037975,          0.00089657,           0.0059235,           0.0059235,           0.0059235
                  49,            0.029943,            0.024955,          0.00073529,             0.78753,              0.7587,             0.71833,             0.32506,             0.04376,            0.035129,           0.0010466,           0.0057826,           0.0057826,           0.0057826
                  50,             0.02902,            0.022581,          0.00072023,             0.79347,             0.79044,             0.76983,             0.33866,            0.042013,            0.032592,          0.00079836,           0.0056413,           0.0056413,           0.0056413
                  51,            0.029162,            0.021959,          0.00071905,             0.82645,             0.82152,             0.80083,              0.3711,            0.039701,            0.029322,           0.0008702,              0.0055,              0.0055,              0.0055
                  52,            0.028685,            0.022138,          0.00065226,             0.75465,             0.74848,             0.70458,             0.31531,            0.043994,            0.037689,            0.000739,           0.0053587,           0.0053587,           0.0053587
                  53,            0.028284,              0.0216,          0.00048747,             0.80208,             0.79384,             0.76326,             0.35202,            0.041119,            0.033242,            0.001106,           0.0052174,           0.0052174,           0.0052174
                  54,            0.028941,            0.021887,          0.00076928,             0.77192,              0.7775,             0.72117,             0.32592,            0.042607,            0.035074,          0.00089845,           0.0050765,           0.0050765,           0.0050765
                  55,            0.028985,             0.02254,          0.00072344,             0.80109,             0.79777,             0.75031,             0.33694,            0.041632,            0.034758,           0.0010436,            0.004936,            0.004936,            0.004936
                  56,            0.027626,            0.020222,           0.0005743,             0.80168,             0.78922,             0.74672,             0.33985,            0.041862,            0.034854,           0.0010303,            0.004796,            0.004796,            0.004796
                  57,            0.027926,            0.021796,          0.00053487,             0.82366,             0.82247,             0.79592,             0.38362,            0.039286,            0.032313,          0.00096818,           0.0046568,           0.0046568,           0.0046568
                  58,            0.027668,            0.022279,          0.00049076,             0.78976,             0.81129,             0.77857,             0.36582,            0.040477,            0.032531,          0.00081794,           0.0045184,           0.0045184,           0.0045184
                  59,            0.027987,            0.022186,          0.00067184,             0.76761,             0.75921,             0.71061,             0.31802,               0.043,            0.035991,           0.0010074,           0.0043809,           0.0043809,           0.0043809
                  60,            0.027466,            0.020773,          0.00057399,             0.79684,             0.80068,             0.74929,             0.33771,            0.041795,            0.035428,          0.00082837,           0.0042445,           0.0042445,           0.0042445
                  61,            0.026538,            0.022564,          0.00045202,             0.79967,             0.78922,             0.76057,             0.36751,            0.039593,            0.032518,          0.00083565,           0.0041094,           0.0041094,           0.0041094
                  62,            0.026263,            0.020326,          0.00049124,             0.78571,             0.77867,             0.73691,             0.34367,            0.041813,            0.035762,          0.00074977,           0.0039757,           0.0039757,           0.0039757
                  63,             0.02585,            0.020161,          0.00050813,             0.79181,             0.77799,             0.74165,             0.34825,            0.041453,            0.035332,          0.00083767,           0.0038434,           0.0038434,           0.0038434
                  64,            0.026692,             0.02205,          0.00070613,             0.80011,             0.79315,             0.76112,             0.34069,            0.040887,            0.033682,          0.00095564,           0.0037128,           0.0037128,           0.0037128
                  65,             0.02668,            0.021399,          0.00061014,             0.79477,             0.80142,             0.76387,             0.36353,            0.040754,            0.034945,           0.0008212,            0.003584,            0.003584,            0.003584
                  66,            0.025855,            0.020916,          0.00051924,             0.79729,             0.79951,             0.76385,              0.3496,            0.040688,            0.034367,          0.00078734,            0.003457,            0.003457,            0.003457
                  67,            0.025065,            0.021558,          0.00046344,             0.78352,             0.81277,             0.75386,             0.34466,            0.041577,             0.03719,          0.00088334,           0.0033321,           0.0033321,           0.0033321
                  68,            0.025186,            0.017734,          0.00037178,             0.80836,             0.80439,             0.77283,             0.36249,            0.040384,             0.03486,          0.00079357,           0.0032093,           0.0032093,           0.0032093
                  69,            0.025941,            0.020471,          0.00051072,              0.8006,             0.78676,             0.75682,             0.34999,            0.040908,            0.034565,          0.00086763,           0.0030888,           0.0030888,           0.0030888
                  70,            0.024779,            0.019061,          0.00042665,             0.77371,             0.77604,             0.73249,             0.34157,            0.041479,            0.036107,            0.000766,           0.0029706,           0.0029706,           0.0029706
                  71,            0.024942,            0.020607,          0.00056947,             0.76971,             0.76578,             0.71761,             0.32652,            0.042544,            0.038027,           0.0007794,            0.002855,            0.002855,            0.002855
                  72,            0.024328,             0.01907,          0.00036164,             0.80658,             0.77897,             0.76125,              0.3502,            0.041026,             0.03695,          0.00082944,           0.0027419,           0.0027419,           0.0027419
                  73,            0.025634,            0.021382,          0.00035873,             0.80178,             0.75694,              0.7396,             0.34833,            0.041113,            0.036498,          0.00092114,           0.0026316,           0.0026316,           0.0026316
                  74,            0.024118,            0.017196,          0.00040391,             0.80741,             0.80537,             0.76604,             0.35832,            0.039898,            0.034805,          0.00092303,           0.0025241,           0.0025241,           0.0025241
                  75,            0.025116,            0.022181,          0.00038609,             0.79132,             0.79065,             0.75955,             0.34207,            0.041025,            0.035864,          0.00092408,           0.0024195,           0.0024195,           0.0024195
                  76,             0.02393,            0.018656,          0.00044929,              0.7947,             0.77402,             0.74227,             0.34824,            0.041445,            0.038228,          0.00088031,            0.002318,            0.002318,            0.002318
                  77,            0.023923,            0.019674,          0.00042362,             0.80558,             0.78777,             0.76815,             0.34905,            0.040883,            0.035821,          0.00084432,           0.0022196,           0.0022196,           0.0022196
                  78,            0.025131,            0.019508,           0.0003344,             0.81471,             0.77457,             0.76168,              0.3591,            0.040216,            0.036288,          0.00081396,           0.0021245,           0.0021245,           0.0021245
                  79,            0.023637,            0.017766,          0.00038502,             0.77673,             0.75446,             0.71378,             0.34308,            0.041854,             0.03877,          0.00086662,           0.0020327,           0.0020327,           0.0020327
                  80,            0.023453,             0.01959,          0.00040106,             0.80466,             0.77114,              0.7469,              0.3449,            0.041338,            0.037654,          0.00085515,           0.0019443,           0.0019443,           0.0019443
                  81,            0.023602,            0.021432,          0.00036014,             0.78677,             0.76086,             0.73129,             0.33064,            0.042046,             0.03928,          0.00091156,           0.0018594,           0.0018594,           0.0018594
                  82,            0.022877,            0.017611,          0.00035484,             0.80998,             0.79784,             0.77239,             0.35843,            0.040323,            0.036775,          0.00084341,           0.0017781,           0.0017781,           0.0017781
                  83,             0.02303,            0.019423,          0.00026944,             0.80497,             0.78727,             0.75634,             0.35968,            0.040976,            0.038114,          0.00082621,           0.0017005,           0.0017005,           0.0017005
                  84,            0.022996,             0.01703,          0.00031806,             0.78276,             0.78141,               0.735,             0.34481,            0.041893,            0.038509,          0.00075256,           0.0016267,           0.0016267,           0.0016267
                  85,            0.022585,            0.017642,          0.00031417,             0.80748,             0.77355,             0.75609,             0.35427,            0.040733,            0.037232,           0.0008087,           0.0015566,           0.0015566,           0.0015566
                  86,            0.022891,            0.016194,          0.00028975,             0.79961,             0.78579,             0.75456,             0.34409,              0.0419,            0.037932,          0.00091913,           0.0014905,           0.0014905,           0.0014905
                  87,            0.023495,            0.018239,          0.00036956,             0.81617,             0.78481,             0.76968,              0.3655,            0.040251,            0.037068,          0.00089275,           0.0014283,           0.0014283,           0.0014283
                  88,            0.022136,            0.017092,          0.00026421,             0.82087,             0.79853,             0.77981,             0.37117,              0.0396,            0.035679,            0.001004,           0.0013701,           0.0013701,           0.0013701
